<id>       <latitude>          <longitude>   <cross_road>
p1	35.9454801	126.6850823	1
p103	35.9456995	126.6794094	1
p104	35.9457421	126.6800781	1
p105	35.9457397	126.6796294	1
p106	35.9456377	126.6791553	1
p107	35.9455406	126.678842	0
p108	35.9457466	126.6787588	1
p109	35.9458178	126.6787011	1
p11	35.9440535	126.680721	1
p110	35.9458381	126.6782901	1
p111	35.9458312	126.6780659	1
p113	35.9438543	126.6807249	1
p114	35.9436806	126.6807632	1
p115	35.9428757	126.6810578	0
p116	35.9427378	126.6822665	0
p117	35.9427611	126.6815388	1
p118	35.9428136	126.6812392	1
p119	35.9427399	126.6818689	1
p12	35.9433326	126.6808999	1
p120	35.9429613	126.6808441	1
p121	35.9447809	126.6784194	1
p122	35.9431811	126.6805289	1
p123	35.9433171	126.6804111	1
p124	35.9435289	126.6801526	1
p125	35.9437145	126.6797779	0
p126	35.9441001	126.6789012	0
p127	35.9442873	126.6785638	1
p128	35.9443958	126.6784789	1
p129	35.9445942	126.6784111	1
p13	35.9456933	126.6808234	0
p130	35.9449251	126.6784629	1
p131	35.9453613	126.6786436	1
p132	35.9430546	126.6806862	1
p134	35.9436818	126.6786024	1
p136	35.9431997	126.6794263	1
p137	35.9428121	126.6857421	1
p138	35.9427687	126.6840776	1
p139	35.9427286	126.6838528	0
p141	35.9427434	126.6824537	1
p144	35.9423652	126.6838281	1
p146	35.9409717	126.6821426	1
p147	35.9409562	126.6821648	1
p148	35.9408923	126.6823296	1
p149	35.9408116	126.6826017	1
p15	35.9451241	126.6785431	1
p150	35.9407862	126.6828546	1
p151	35.940731	126.683073	1
p153	35.9408613	126.6822185	1
p154	35.940811	126.6822989	1
p156	35.9443858	126.682376	1
p157	35.9435736	126.6823463	1
p158	35.9453632	126.6824455	1
p159	35.9482915	126.6849413	1
p161	35.9483411	126.6835512	0
p163	35.9484281	126.6810055	0
p164	35.9511247	126.6839679	1
p165	35.9503921	126.6837734	1
p166	35.9502879	126.6836711	0
p167	35.9498504	126.6836358	0
p170	35.9498661	126.6829991	1
p172	35.9503264	126.6828601	1
p174	35.9476103	126.6809291	0
p176	35.9502587	126.6798244	1
p177	35.9500267	126.6800497	1
p178	35.9498809	126.6801608	1
p179	35.9497884	126.6802873	1
p180	35.9497357	126.6804697	1
p181	35.9496999	126.6806843	1
p182	35.9495961	126.6808545	1
p183	35.9494491	126.6809789	1
p184	35.9493108	126.6810261	1
p189	35.9473499	126.6831123	1
p190	35.942943	126.685742	1
p191	35.943238	126.685706	1
p192	35.943554	126.685664	1
p193	35.943862	126.685621	1
p194	35.944133	126.685587	1
p195	35.944468	126.685547	1
p196	35.944751	126.685509	1
p197	35.945001	126.685475	1
p198	35.945827	126.68537	1
p199	35.946038	126.685345	1
p2	35.9451501	126.6808069	1
p200	35.946295	126.685311	1
p201	35.946565	126.685281	1
p202	35.946763	126.685258	1
p203	35.946982	126.685233	1
p204	35.947408	126.685182	0
p205	35.947747	126.68513	1
p206	35.94801	126.685088	1
p207	35.948147	126.685069	1
p208	35.948283	126.685074	0
p209	35.948805	126.685179	0
p210	35.94876	126.68585	0
p211	35.948749	126.686204	0
p212	35.948749	126.686602	0
p213	35.948143	126.686705	1
p214	35.947534	126.686815	0
p215	35.947163	126.686905	1
p216	35.94711	126.68692	0
p217	35.946842	126.687088	1
p218	35.946236	126.687509	1
p219	35.945955	126.687773	1
p220	35.945562	126.687797	0
p221	35.945499	126.685854	1
p222	35.945517	126.686247	1
p223	35.945532	126.686593	1
p224	35.945549	126.686939	0
p225	35.947484	126.685686	0
p226	35.947505	126.686209	0
p227	35.947062	126.685755	0
p228	35.947097	126.686511	0
p229	35.945896	126.685898	0
p230	35.945898	126.686573	0
p231	35.945893	126.686868	0
p232	35.944848	126.686001	1
p233	35.944901	126.687001	0
p234	35.944916	126.687819	0
p235	35.945108	126.686994	1
p236	35.944524	126.687017	1
p237	35.945147	126.68781	1
p238	35.943906	126.687045	0
p239	35.9438747	126.6861069	0
p240	35.9431494	126.6862518	0
p241	35.9431625	126.6870859	0
p242	35.9428187	126.6871074	0
p243	35.9439218	126.6878772	0
p244	35.9431943	126.6879201	0
p245	35.9444755	126.6860291	0
p246	35.9428469	126.6879228	0
p247	35.9444994	126.6866219	0
p248	35.9438914	126.6866514	0
p249	35.9449033	126.6874024	0
p250	35.9439127	126.6874507	0
p251	35.9435012	126.6861539	0
p253	35.9435338	126.6870631	0
p254	35.9431943	126.6874856	0
p255	35.9446384	126.6878343	1
p256	35.9498678	126.6854042	1
p257	35.9509448	126.6856563	1
p258	35.949131	126.6865307	1
p259	35.9502818	126.6862598	1
p260	35.9506596	126.6863161	1
p261	35.9428094	126.6861505	0
p262	35.9455479	126.6838606	0
p263	35.9463712	126.6839585	1
p264	35.9467099	126.6836447	1
p265	35.9470248	126.6836581	0
p266	35.9471377	126.684283	1
p267	35.9474634	126.6842723	0
p268	35.9478108	126.6839719	1
p269	35.9483124	126.6839907	0
p3	35.9455765	126.6832326	0
p5	35.9456075	126.6824511	0
p53	35.9443685	126.6831469	1
p54	35.9434922	126.6830392	0
p56	35.9433299	126.6832641	1
p57	35.9431721	126.6835504	1
p59	35.9433773	126.6828443	1
p60	35.9432621	126.6826974	1
p61	35.9432602	126.6826344	1
p62	35.9432306	126.6825691	1
p63	35.9430524	126.6825363	1
p64	35.9427768	126.6825511	0
p65	35.9483689	126.6826346	0
p66	35.947553	126.6825845	0
p67	35.9473697	126.6825731	0
p68	35.9463899	126.6825109	0
p7	35.945486	126.685417	1
p70	35.9443402	126.6807371	1
p71	35.9464341	126.6817748	0
p73	35.9456235	126.6817268	0
p74	35.947577	126.6818537	0
			
